state,state_abbr,state_fips,2-person household_2010,3-person household_2010,4-person household_2010,5-person household_2010,6-person household_2010,7-or-more-person household_2010
Alabama,AL,1,632291,322941,245326,106771,37510,22256
Alaska,AK,2,83852,41891,34124,18122,7546,6450
Arizona,AZ,4,814955,344326,296655,164944,77095,62007
Arkansas,AR,5,402111,186450,142819,65311,24496,15105
California,CA,6,3653802,2043812,1883451,1040408,507471,519112
Colorado,CO,8,673027,301196,256692,115994,45650,29515
Connecticut,CT,9,443095,226658,197116,84916,29348,16306
Delaware,DE,10,117500,56966,45778,20945,8164,5448
District of Columbia,DC,11,77845,32679,20274,9913,4572,3993
Florida,FL,12,2643162,1152686,900377,419230,168395,115171
